Col0,Col1,Col2
47.6414679999807,-122.14023166356732,0.0
47.641467999980534,-122.14023240621127,0.0
47.64146799997927,-122.14023833410909,0.0
47.641467999977756,-122.14024466362798,0.0
47.64146799997532,-122.1402532660486,0.0
47.64146799997124,-122.1402638898316,0.0
47.64146799996883,-122.14026913350064,0.0
47.64146799996384,-122.14027939215198,0.0
47.64146799996062,-122.14028856349547,0.0
47.64146799995932,-122.14029802001637,0.0
47.64146799996075,-122.14030775737393,0.0
47.64146799996186,-122.14031499138537,0.0
47.64146799996135,-122.14032556416164,0.0
47.64146799995966,-122.14033307639944,0.0
47.64146799995602,-122.14034309272296,0.0
47.64146799995076,-122.1403531090465,0.0
47.641467999943934,-122.14036396005879,0.0
47.64146799993578,-122.14037453284473,0.0
47.64146799992659,-122.1403845491586,0.0
