Col0,Col1,Col2
47.64142308423815,-122.140165,0.0
47.641422592253164,-122.140165,0.0
47.641418606091655,-122.14016500000427,0.0
47.64141434305367,-122.140165000023,0.0
47.641408546739164,-122.14016500008526,0.0
47.64140138669075,-122.14016500021063,0.0
47.64139785229147,-122.14016500028185,0.0
47.6413907501147,-122.1401650004345,0.0
47.641384755102344,-122.14016500057049,0.0
47.641378380581116,-122.14016500071885,0.0
47.64137181671094,-122.14016500081954,0.0
47.641366940328865,-122.14016500072074,0.0
47.64135981331344,-122.14016500061054,0.0
47.64135474938023,-122.14016500045044,0.0
47.641347996952504,-122.14016500037964,0.0
47.6413412439581,-122.14016500043176,0.0
47.641333928219034,-122.14016500053158,0.0
47.6413268000637,-122.14016500064307,0.0
47.64132004707581,-122.14016500074811,0.0
