Col0,Col1,Col2
47.641512915761865,-122.140165,0.0
47.64151342171712,-122.140165,0.0
47.641517425867384,-122.14016500000407,0.0
47.64152169410338,-122.14016500002214,0.0
47.64152749305839,-122.140165000083,0.0
47.64153465418158,-122.14016500020786,0.0
47.641538188789305,-122.14016500027941,0.0
47.6415452911566,-122.1401650004333,0.0
47.64155128622432,-122.14016500057085,0.0
47.64155766077161,-122.14016500072142,0.0
47.6415642246483,-122.14016500082555,0.0
47.64156910102711,-122.14016500072873,0.0
47.64157622804904,-122.1401650006218,0.0
47.64158129198226,-122.14016500046304,0.0
47.641588044409986,-122.14016500039335,0.0
47.641594797397865,-122.1401650004466,0.0
47.64160211314345,-122.14016500054736,0.0
47.64160924129879,-122.14016500065985,0.0
47.64161599428668,-122.14016500076629,0.0
