Col0,Col1,Col2
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
47.641468,-122.140165,0.0
